"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2023","2,430.16","2,397.48","2,432.39","2,378.01","3.92B","1.06%"
"12/08/2023","2,404.55","2,413.72","2,419.51","2,401.79","4.06B","-0.46%"
"12/07/2023","2,415.66","2,405.27","2,422.30","2,396.12","3.09B","0.36%"
"12/06/2023","2,407.06","2,405.73","2,421.68","2,399.46","2.87B","-0.10%"
"12/05/2023","2,409.57","2,437.36","2,438.21","2,409.40","2.84B","-1.35%"
"12/04/2023","2,442.48","2,445.00","2,455.05","2,440.14","2.75B","-0.16%"
"12/01/2023","2,446.30","2,428.66","2,450.48","2,428.62","2.78B","0.69%"
"11/30/2023","2,429.62","2,415.33","2,434.66","2,414.56","2.61B","0.60%"
"11/29/2023","2,415.24","2,437.12","2,437.46","2,413.36","2.58B","-0.92%"
"11/28/2023","2,437.69","2,436.00","2,443.29","2,428.56","2.41B","-0.05%"
"11/27/2023","2,438.96","2,450.34","2,450.34","2,431.42","3.06B","-0.75%"
"11/24/2023","2,457.42","2,464.46","2,466.44","2,453.77","2.73B","-0.38%"
"11/23/2023","2,466.71","2,455.39","2,468.28","2,447.69","2.58B","0.34%"
"11/22/2023","2,458.28","2,463.25","2,477.46","2,458.26","2.92B","-0.48%"
"11/21/2023","2,470.17","2,470.07","2,490.02","2,465.97","3.39B","0.22%"
"11/20/2023","2,464.68","2,462.29","2,467.57","2,445.89","2.52B","0.08%"
"11/17/2023","2,462.65","2,458.32","2,465.69","2,453.80","2.54B","-0.02%"
"11/16/2023","2,463.11","2,467.22","2,479.22","2,463.11","2.56B","-0.44%"
"11/15/2023","2,474.07","2,479.79","2,496.12","2,469.75","3.20B","0.31%"
"11/14/2023","2,466.51","2,440.52","2,480.66","2,439.49","3.08B","1.02%"
"11/13/2023","2,441.54","2,439.38","2,443.14","2,427.09","2.33B","0.03%"
"11/10/2023","2,440.80","2,441.79","2,446.59","2,430.06","2.54B","-0.19%"
"11/09/2023","2,445.56","2,446.00","2,456.77","2,440.87","2.55B","-0.21%"
"11/08/2023","2,450.83","2,450.75","2,461.82","2,439.26","3.09B","-0.23%"
"11/07/2023","2,456.46","2,449.12","2,462.03","2,443.42","3.41B","0.07%"
"11/06/2023","2,454.66","2,433.34","2,456.39","2,424.44","3.88B","2.17%"
"11/03/2023","2,402.55","2,393.91","2,411.20","2,392.22","2.32B","0.41%"
"11/02/2023","2,392.66","2,400.44","2,410.77","2,392.66","2.38B","-0.33%"
"11/01/2023","2,400.62","2,406.56","2,407.54","2,390.76","2.46B","0.09%"
"10/31/2023","2,398.36","2,403.43","2,406.72","2,389.91","2.67B","-0.27%"
"10/30/2023","2,404.74","2,413.91","2,413.91","2,391.42","3.15B","-0.70%"
"10/27/2023","2,421.75","2,397.10","2,428.05","2,391.58","2.69B","0.68%"
"10/26/2023","2,405.28","2,387.23","2,406.95","2,383.74","2.37B","0.25%"
"10/25/2023","2,399.28","2,409.03","2,411.47","2,397.33","2.75B","0.14%"
"10/24/2023","2,395.99","2,376.80","2,401.59","2,371.04","3.09B","1.16%"
"10/23/2023","2,368.56","2,403.03","2,403.38","2,358.25","2.53B","-1.85%"
"10/20/2023","2,413.32","2,410.78","2,429.41","2,407.83","2.35B","-0.24%"
"10/19/2023","2,419.14","2,448.68","2,450.97","2,419.14","2.71B","-1.53%"
"10/18/2023","2,456.78","2,468.62","2,471.72","2,455.17","2.28B","-0.73%"
"10/17/2023","2,474.81","2,463.10","2,479.12","2,455.93","2.35B","0.62%"
"10/16/2023","2,459.66","2,467.63","2,469.04","2,451.62","2.11B","-0.32%"
"10/13/2023","2,467.55","2,467.39","2,475.13","2,457.45","2.30B","-0.53%"
"10/12/2023","2,480.79","2,476.92","2,482.65","2,470.30","2.62B","1.09%"
"10/11/2023","2,453.94","2,464.68","2,473.54","2,449.65","2.23B","-0.22%"
"10/10/2023","2,459.35","2,475.34","2,482.70","2,457.52","2.16B","-0.39%"
"10/09/2023","2,469.07","2,488.78","2,488.78","2,460.33","2.49B","-1.20%"
"09/28/2023","2,499.07","2,506.13","2,512.84","2,496.71","2.04B","-0.05%"
"09/27/2023","2,500.31","2,498.80","2,511.69","2,497.38","2.19B","0.09%"
"09/26/2023","2,498.01","2,503.15","2,514.37","2,498.01","1.98B","-0.23%"
"09/25/2023","2,503.82","2,516.64","2,518.17","2,500.08","2.62B","-0.66%"
"09/22/2023","2,520.36","2,486.77","2,520.98","2,485.92","2.73B","1.36%"
"09/21/2023","2,486.50","2,510.97","2,517.04","2,486.50","2.19B","-1.11%"
"09/20/2023","2,514.32","2,517.54","2,523.87","2,510.81","2.38B","-0.21%"
"09/19/2023","2,519.52","2,516.83","2,528.15","2,512.61","2.53B","-0.05%"
"09/18/2023","2,520.69","2,504.00","2,523.96","2,493.60","2.64B","0.37%"
"09/15/2023","2,511.39","2,510.54","2,527.12","2,500.33","2.75B","0.27%"
"09/14/2023","2,504.71","2,507.30","2,510.49","2,493.07","2.41B","-0.07%"
"09/13/2023","2,506.54","2,520.19","2,522.54","2,493.77","2.19B","-0.57%"
"09/12/2023","2,520.90","2,529.03","2,530.99","2,518.32","2.13B","-0.42%"
"09/11/2023","2,531.47","2,508.47","2,540.51","2,500.46","3.10B","1.01%"
"09/08/2023","2,506.25","2,500.98","2,513.52","2,492.59","2.29B","-0.07%"
"09/07/2023","2,508.05","2,522.27","2,533.42","2,506.07","2.89B","-0.70%"
"09/06/2023","2,525.75","2,521.33","2,531.40","2,510.88","2.77B","-0.10%"
"09/05/2023","2,528.30","2,556.38","2,556.38","2,525.23","3.37B","-1.33%"
"09/04/2023","2,562.42","2,541.85","2,570.17","2,541.85","3.86B","1.07%"
"09/01/2023","2,535.39","2,529.00","2,545.11","2,526.87","3.05B","0.56%"
"08/31/2023","2,521.35","2,545.32","2,547.31","2,518.43","3.36B","-1.10%"
"08/30/2023","2,549.43","2,571.56","2,571.56","2,541.82","3.92B","-1.10%"
"08/29/2023","2,577.88","2,558.90","2,585.91","2,536.14","5.13B","0.31%"
"08/28/2023","2,570.01","2,685.97","2,689.79","2,563.98","6.70B","1.24%"
"08/25/2023","2,538.65","2,541.24","2,560.01","2,528.77","3.16B","-0.51%"
"08/24/2023","2,551.72","2,550.87","2,574.93","2,541.49","3.42B","0.30%"
"08/23/2023","2,543.97","2,574.39","2,579.02","2,543.20","3.18B","-1.46%"
"08/22/2023","2,581.78","2,565.70","2,586.42","2,542.17","3.64B","0.98%"
"08/21/2023","2,556.61","2,591.86","2,600.28","2,556.61","3.49B","-1.63%"
"08/18/2023","2,599.02","2,625.91","2,648.63","2,599.02","4.51B","-1.03%"
"08/17/2023","2,625.97","2,614.84","2,629.99","2,602.49","5.27B","0.02%"
"08/16/2023","2,625.40","2,614.30","2,652.34","2,602.70","4.77B","-0.05%"
"08/15/2023","2,626.64","2,610.41","2,629.16","2,596.35","3.67B","0.50%"
"08/14/2023","2,613.46","2,595.52","2,622.37","2,589.92","3.89B","-0.61%"
"08/11/2023","2,629.55","2,683.81","2,683.81","2,629.48","4.52B","-2.35%"
"08/10/2023","2,692.95","2,680.88","2,692.95","2,670.84","4.16B","0.37%"
"08/09/2023","2,683.16","2,687.61","2,698.94","2,676.62","3.67B","-0.62%"
"08/08/2023","2,699.99","2,688.46","2,721.52","2,669.61","4.73B","0.09%"
"08/07/2023","2,697.68","2,693.76","2,700.35","2,682.09","5.37B","-0.63%"
"08/04/2023","2,714.78","2,726.53","2,757.49","2,705.43","8.63B","0.40%"
"08/03/2023","2,703.92","2,670.71","2,708.61","2,651.42","6.36B","1.48%"
"08/02/2023","2,664.60","2,669.48","2,693.24","2,656.41","5.75B","-0.48%"
"08/01/2023","2,677.50","2,679.74","2,703.06","2,668.06","6.88B","-0.42%"
